Norma,Descricao da Sigla,Data de Apresentacao,Autor,Partido,Ementa,Similaridade Semantica,Link Documento PDF,Link Página Web,Indexacao,Último Estado,Data Último Estado,Situação
PL 1978/2022,Projeto de Lei,2022-07-12,Luis Miranda,REPUBLICANOS,"Altera a Lei nº 9.998, de 17 de agosto de 2000, para dispor sobre a oferta gratuita de internet em áreas de grande circulação de pessoas.",0.574,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2197307,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2332225,"Alteração, Lei do Fundo de Universalização dos Serviços de Telecomunicações, aplicação, recursos, Fundo de Universalização dos Serviços de Telecomunicações (Fust), Acesso gratuito, internet, Área pública.",Notificações,2024-05-16,Tramitando em Conjunto
PL 1913/2022,Projeto de Lei,2022-07-06,Carlos Henrique Gaguim,UNIÃO,"Inclui o art. 6º-A na Lei nº 5.768, de 20 de dezembro de 1971, que dispõe sobre distribuição gratuita de prêmios, mediante sorteio, vale-brinde ou concurso, a título de propaganda, estabelece normas de proteção à poupança popular, e dá outras providências, para tratar de sorteios gratuitos por meio de provedores de aplicações de internet.",0.573,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2195148,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2331437,"Alteração, lei federal, critério, distribuição gratuita, prêmio de concurso e sorteio, vale-brinde, provedor de aplicações, internet, transparência.",Notificacao para Publicação Intermediária,2025-09-24,Tramitando em Conjunto
PL 1021/2022,Projeto de Lei,2022-04-26,Hildo Rocha,MDB,"Institui o Programa Nacional de Conectividade, destinado a garantir o acesso dos cidadãos às tecnologias da informação e comunicação e à internet.",0.564,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2160602,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2320417,"Criação, Programa Nacional de Conectividade, acesso, cidadão, Tecnologia da informação e comunicação (TIC), Internet. _ Inclusão digital, redução, Desigualdade social, Desigualdade regional_ Expansão, conexão, internet, banda larga, Serviços essenciais, Regime jurídico, concorrência (licitação).  
_ Alteração, Lei Geral de Telecomunicações, Prestador de serviço, Serviços de telecomunicações, conexão, internet, banda larga, Tarifa social, Família de baixa renda, Cadastro Único para Programas Sociais do Governo Federal (CadÚnico), gratuidade, família, extrema pobreza. 
_ Alteração, Lei do Fundo de Universalização dos Serviços de Telecomunicações, destinação, recursos, Fundo de Universalização dos Serviços de Telecomunicações (Fust), ampliação, acesso, sociedade, Serviços de telecomunicações, Programa Nacional de Conectividade.",Notificacao para Publicação Intermediária,2025-04-15,Tramitando em Conjunto
PL 705/2022,Projeto de Lei,2022-03-24,Helio Lopes,PL,"Dispõe sobre a compatibilização dos sistemas de Inteligência Artificial utilizados pela Administração Pública a práticas da agenda ambiental, social e de governança.",0.528,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2152436,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2318674,"Compatibilização, sistema computacional, inteligência artificial, Administração direta, Administração indireta, boas práticas, meio ambiente, ambiente social, governança. _Finalidade, promoção, desenvolvimento econômico,  desenvolvimento sustentável, respeito, pluralidade, diversidade, garantia, utilização, meios, governança, fundamentação, transparência, ética, colaboração.",Arquivamento,2024-12-10,Arquivada
PL 810/2022,Projeto de Lei,2022-04-04,Professora Dorinha Seabra Rezende,UNIÃO,"Altera dispositivos da Lei nº 14.172, de 10 de junho de 2021, que dispõe sobre a garantia de acesso à internet, com fins educacionais, a alunos e a professores da educação básica pública.",0.527,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2155127,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2319163,"Alteração, Lei Federal, garantia, ampliação, acesso, internet, utilização, tecnologia, aluno, professor, educação básica, escola pública. _Transferência, recursos, União, estado (ente federado), Distrito Federal, ausência, aplicação, restituição, cofres públicos. _Recursos, finalidade, contratação, serviços, acesso, internet, banda larga, implantação, infraestrutura, distribuição, sinal de internet, implantação, aquisição, contratação, equipamento eletrônico, recursos didáticos. _Fornecimento, dados pessoais, professor, pais, responsável legal, aluno, solução de conectividade, empresa, contratado. _Pessoa jurídica de direito privado, empresa nacional, empresa estrangeira, doação, terminal (informática), notebook.",Recebimento,2025-10-02,Aguardando Designação de Relator(a)
PL 2782/2022,Projeto de Lei,2022-11-11,José Medeiros,PL,"Tipifica como crime de abuso de autoridade a suspensão ou o bloqueio injustificado de página ou perfil na internet de Deputado ou Senador, e disciplina a retirada de conteúdos publicados na internet nas hipóteses que especifica.",0.523,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2215518,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2338514,"Alteração, Lei de Abuso de Autoridade (2019), Abuso de autoridade, exclusão, ausência, justificativa, publicação, Perfil de usuário, Sítio (internet), rede social, Deputado, Senador, violação, Imunidade parlamentar, Liberdade de expressão, detenção, multa. 
_ Alteração, Marco Civil da Internet, obrigatoriedade, fundamentação, ordem judicial, Provedor de aplicações, Internet, retirada, Publicação, Deputado, Senador.",Parecer do(a) Relator(a),2025-10-15,Pronta para Pauta
PL 2177/2022,Projeto de Lei,2022-08-08,Nereu Crispim,PSD,"Esta Lei estabelece garantias ao consumidor de telefonia e internet móveis à cobertura mínima de sinal operacional de telefonia, limite de banda à internet móvel, normas gerais de proteção ao consumidor e dá outras providências.",0.522,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2202195,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2333864,"Alteração, Lei Geral de Telecomunicações, garantia, consumidor, telefonia móvel, internet, cobertura mínima, sinal de telefonia, sinal de internet. _Obrigatoriedade, Concessionária de serviço de telefonia, ininterrupção, sinal de telefone, sinal de internet, área urbana, rodovia. _Proibição, cobrança, integralidade, valor, prestação de serviços, consumidor, interrupção, serviços, promoção, abatimento no preço.",Notificações,2024-03-14,Tramitando em Conjunto
PL 2543/2022,Projeto de Lei,2022-09-30,José Nelto,UNIÃO,"Dispõe sobre diretrizes para o acesso à internet nas áreas rurais e vulneráveis, sob regime de parceria ou instrumento congênere com entidades públicas e privadas .",0.520,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2207960,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2335239,"Diretrizes, acesso, internet, área rural, inclusão digital, vulnerabilidade social, parceria público-privada, prestação de serviços, telecomunicação.",Apensação,2025-03-13,Tramitando em Conjunto
PL 1834/2022,Projeto de Lei,2022-06-30,Felício Laterça,PP,"Altera a Lei Geral de Telecomunicações (Lei nº 9.472, de 16 de julho de 1997), determinando o bloqueio das chamadas telefônicas com desligamento automático realizadas de forma massiva.",0.508,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2193584,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2330987,"Alteração, Lei Geral de Telecomunicações, critério, Agência Nacional de Telecomunicações (Anatel), bloqueio, chamada telefônica, sistema automático, Telemarketing, Robocall. _ Infração administrativa, Crime contra as relações de consumo, Publicidade abusiva, utilização indevida, serviços de telecomunicações.",Publicação de Proposição,2022-07-06,Tramitando em Conjunto
PL 1938/2022,Projeto de Lei,2022-07-07,Orlando Silva,PCdoB,Institui a Política de Inclusão Digital nos Municípios.,0.504,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2196066,https://dadosabertos.camara.leg.br/api/v2/proposicoes/2331799,"Criação, Política de Inclusão Digital nos Municípios, política pública, acesso, internet, Tecnologia da informação e comunicação (TIC), meio eletrônico, Governo eletrônico. _Destinação, recursos, Fundo de Universalização dos Serviços de Telecomunicações (Fust), financiamento, inclusão digital, Município. _Critério, acesso gratuito, internet, banda larga.",Encerramento de Prazo,2024-05-28,Aguardando Parecer
