ID Proposicao;Norma;Descricao da Sigla;Data de Apresentacao;Autor;Partido;Ementa;ID Projeto Mae;Link Documento PDF;Link Página Web;Indexacao;Último Estado;Data Último Estado;Situação;Score Final;Score Semantico (IA);Score Politico (Tracao);Boost Keyword;Metodo
2487262;PL 2338/2023;Projeto de Lei;2025-03-17;Senado Federal - Rodrigo Pacheco;N/A;Dispõe sobre o desenvolvimento, o fomento e o uso ético e responsável da inteligência artificial com base na centralidade da pessoa humana.;;https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2868197;https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2487262;Diretrizes, desenvolvimento, incentivo, utilização, ética, inteligência artificial, direitos, pessoa, autorregulação, penalidade, competência, autoridade, Poder Público, critério, proteção, trabalho, trabalhador. _Alteração, Política Nacional de Educação Digital (PNED), inclusão, educação digital, instituição de ensino, letramento algorítmico, letramento crítico, inteligência artificial. _Alteração, lei federal, aplicação, recursos públicos, Fundo Nacional de Desenvolvimento Científico e Tecnológico (FNDCT), pesquisa, projeto (administração), inteligência artificial.;Aprovação de Requerimento;2026-02-11;Aguardando Parecer;1.7717;0.4860;8.6103;TOTAL (2 Termos);IA Especialista (Rerank) + Tração
2609003;PL 750/2026;Projeto de Lei;2026-03-13;Senado Federal - Senador Eduardo Braga;N/A;Institui, no âmbito do Programa Antes Que Aconteça, o Programa Nacional de Monitoramento de Agressores com Uso de Tecnologia por Inteligência Artificial (PNM-IA), com a finalidade de prevenir a violência doméstica, assegurar a efetividade das medidas protetivas de urgência, ampliar a proteção das vítimas por meio do uso de tecnologias digitais e de inteligência artificial, e subsidiar a atuação preventiva e repressiva dos órgãos de segurança pública, do Ministério Público e do Poder Judiciário.;;https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=3097819;https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2609003;Criação, ação governamental, Programa (administração), âmbito nacional, monitoramento, Inteligência artificial, tecnologia, agressor, violência contra a mulher, violência de gênero, violência doméstica, medida protetiva de urgência, vítima, estudo, Banco de dados, enfrentamento, feminicídio.;Designação de Relator(a);2026-03-18;Aguardando Parecer;1.3540;0.5180;6.0000;TOTAL (2 Termos);IA Especialista (Rerank) + Tração
2515281;PL 2462/2025;Projeto de Lei;2025-05-21;Ruy Carneiro;PODE;Veda o uso de ferramentas de inteligência artificial para a realização de dublagem de obras audiovisuais ofertadas comercialmente em salas de cinema, nas programações de televisão aberta e por assinatura e nos serviços de vídeo sob demanda e outras plataformas de distribuição de conteúdos audiovisuais pela internet.;;https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2915975;https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2515281;Proibição, Inteligência artificial, dublagem, Obra audiovisual, cinema, televisão, Vídeo sob demanda, Plataforma de streaming.;Publicação de Proposição;2025-06-12;Aguardando Designação de Relator(a);1.2040;0.8944;3.5000;TOTAL (2 Termos);IA Especialista (Rerank) + Tração
2422387;PL 897/2024;Projeto de Lei;2024-03-20;Saullo Vianna;UNIÃO;Dispõe sobre a Autenticação de Mídia Digital criada ou modificada por Inteligência Artificial (IA) e dá outras providências.;2411874;https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2397672;https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2422387;Obrigatoriedade, autenticação, Mídia digital, utilização, Inteligência Artificial, diretrizes.;Recebimento;2024-03-27;Tramitando em Conjunto;1.1195;0.6560;3.5000;TOTAL (2 Termos);IA Especialista (Rerank) + Tração
2418325;PL 357/2024;Projeto de Lei;2024-02-21;Lucio Mosquini;MDB;Altera a Lei nº 9.394, de 20 de dezembro de 1996, que trata das diretrizes e bases da educação nacional, para dispor sobre a inclusão das atividades de Inteligência Artificial como ensino técnico profissionalizante, na forma subsequente, em cursos destinados a quem tenha concluído o ensino médio.;2372533;https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2388267;https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2418325;Alteração, Lei de Diretrizes e Bases da Educação Nacional (1996), inclusão, atividade, inteligência artificial, ensino técnico, ensino profissionalizante, posterioridade, ensino médio.;Publicação de Proposição;2024-02-27;Tramitando em Conjunto;1.0405;0.6375;3.2500;TOTAL (2 Termos);IA Especialista (Rerank) + Tração
2421854;PL 841/2024;Projeto de Lei;2024-03-19;Ruy Carneiro;PODE;Altera a Lei nº 8.078, de 11 de setembro de 1990, para tornar obrigatória a exibição de aviso ao consumidor sobre imagem ou vídeo publicitário produzido com o uso de inteligência artificial.;2171930;https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2396787;https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2421854;Alteração, Código de Defesa do Consumidor (1990), obrigatoriedade, Aviso de alerta, Publicidade promocional, utilização, Inteligência artificial.;Notificação de Apensação;2024-04-16;Tramitando em Conjunto;1.0135;0.4646;4.0000;PARCIAL (1 Termo);IA Especialista (Rerank) + Tração
2435976;PL 2008/2024;Projeto de Lei;2024-05-22;Vinicius Carvalho;REPUBLICANOS;Dispõe sobre a prevenção e repressão às infrações contra a ordem econômica através do uso de Inteligência Artificial (IA) para efetuar práticas desleais de concorrência.;2431834;https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2427972;https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2435976;Alteração, Lei de Defesa da Concorrência (2011), Infração contra a ordem econômica, utilização, Inteligência artificial, Concorrência desleal.;Publicação de Proposição;2024-06-20;Tramitando em Conjunto;1.0100;0.3883;4.0000;TOTAL (2 Termos);IA Especialista (Rerank) + Tração
2351386;PL 1153/2023;Projeto de Lei;2023-03-15;Carlos Henrique Gaguim;UNIÃO;Dispõe sobre normas gerais para a pesquisa, o desenvolvimento e a aplicação da inteligência artificial - IA, e seu uso consciente e ético no âmbito da União, dos Estados, do Distrito Federal e dos Municípios.;2349685;https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2243580;https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2351386;Norma geral, pesquisa e desenvolvimento, aplicação, Inteligência artificial, utilização, Inteligência artificial, âmbito, União, estado (ente federado), Distrito Federal (Brasil). _Criação, Centro Nacional de Inteligência Artificial, vinculação, Ministério da Ciência, Tecnologia e Inovação, finalidade, desenvolvimento, coordenação, política pública, programa (administração), projeto (administração), incentivo, pesquisa e desenvolvimento, inteligência artificial. _Utilização, inteligência artificial, administração pública, princípios, critério técnico, dados científicos. _Estado (ente federado), Distrito Federal, município, criação, legislação suplementar, realização, convênio, parceria público-privada.;Publicação de Proposição;2023-04-24;Tramitando em Conjunto;0.9797;0.7181;2.4375;TOTAL (2 Termos);IA Especialista (Rerank) + Tração
2504671;PL 2129/2025;Projeto de Lei;2025-05-06;Nitinho;PSD;Dispõe sobre a obrigatoriedade de inclusão de conteúdos relacionados à inteligência artificial no currículo da educação básica.;;https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2899204;https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2504671;Obrigatoriedade, inclusão, Currículo escolar, Disciplina (educação), Inteligência artificial, Educação básica.;Encerramento de Prazo;2025-07-02;Aguardando Parecer;0.9493;0.6853;2.3684;TOTAL (2 Termos);IA Especialista (Rerank) + Tração
2502776;PL 1963/2025;Projeto de Lei;2025-04-29;Marcos Tavares;PDT;Dispõe sobre a inclusão obrigatória do tema Inteligência Artificial nos currículos do ensino fundamental II e do ensino médio em todas as redes de ensino do país e dá outras providências.;;https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2895425;https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2502776;Critério, obrigatoriedade, inclusão, currículo escolar, ensino fundamental, ensino médio, conteúdo educativo, inteligência artificial, diretrizes.;Encerramento de Prazo;2025-07-02;Aguardando Parecer;0.9459;0.7677;2.1094;TOTAL (2 Termos);IA Especialista (Rerank) + Tração
2502546;PL 1956/2025;Projeto de Lei;2025-04-29;Rafael Prudente;MDB;Altera a Lei nº 9.394, de 20 de dezembro de 1996, que estabelece diretrizes e bases da educação nacional, para prever o ensino dos fundamentos da Inteligência Artificial (IA) no currículo do ensino fundamental e do ensino médio.;;https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2895089;https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2502546;Alteração, Lei de Diretrizes e Bases da Educação Nacional (1996), inserção, currículo escolar, ensino fundamental, ensino médio, tecnologia digital, inteligência artificial, pensamento computacional, ética digital, educação tecnológica, aplicação, impacto social, impacto econômico, Inclusão digital, Inclusão tecnológica.;Encerramento de Prazo;2025-07-02;Aguardando Parecer;0.8640;0.5992;2.1094;TOTAL (2 Termos);IA Especialista (Rerank) + Tração
2507228;PL 2225/2025;Projeto de Lei;2025-05-09;Helio Lopes;PL;Dispõe sobre a criação da Política Nacional de Formação e Capacitação de Professores da Educação Básica em Inteligência Artificial como Assistente Pedagógico para o Desenvolvimento do Ensino e Aprendizagem e dá outras providências.;;https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2903061;https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2507228;Criação, Política Nacional de Formação e Capacitação de Professores da Educação Básica em Inteligência Artificial como Assistente Pedagógico, diretrizes, educação e formação profissional, professor, educação básica, profissional da educação, educação digital, tecnologia, inclusão digital.;Encerramento de Prazo;2025-07-02;Aguardando Parecer;0.8483;0.5234;2.5000;TOTAL (2 Termos);IA Especialista (Rerank) + Tração
2491093;PL 1325/2025;Projeto de Lei;2025-03-31;Silvia Waiãpi;PL;Dispõe sobre a inserção do estudo de Inteligência Artificial na grade curricular do ensino fundamental e dá outras providências.;;https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2875405;https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2491093;Obrigatoriedade, inclusão, ensino, conteúdo educativo, Inteligência artificial, grade curricular, instituição de ensino, educação básica, diretrizes.;Encerramento de Prazo;2025-06-26;Aguardando Parecer;0.8453;0.7259;1.4655;TOTAL (2 Termos);IA Especialista (Rerank) + Tração
2541086;PL 3783/2025;Projeto de Lei;2025-08-06;Prof. Reginaldo Veras;PV;Dispõe sobre a obrigatoriedade de advertências, recomendações etárias e limites de uso consciente de ferramentas de inteligência artificial, com foco na prevenção de danos à saúde mental, especialmente entre crianças, adolescentes e pessoas com transtornos mentais diagnosticados. Estabelece diretrizes para campanhas educativas, pesquisas públicas e responsabilização de desenvolvedores e provedores.;2487262;https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2967927;https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2541086;Obrigatoriedade, Plataforma digital, Internet, Software aplicativo, sistema de informação, escola, utilização, inteligência artificial, Classificação indicativa, faixa etária, proteção, saúde mental, criança, adolescente, Pessoa com transtorno mental, diretrizes.;Recebimento;2025-09-23;Tramitando em Conjunto;0.8287;0.5860;2.1875;TOTAL (2 Termos);IA Especialista (Rerank) + Tração
2598988;PL 6621/2025;Projeto de Lei;2025-12-22;Mersinho Lucena;PP;Institui o Sistema Nacional de Inteligência Pública (SNIP), destinado ao uso ético e integrado de tecnologias de inteligência artificial na formulação, execução e avaliação de políticas públicas, e dá outras providências.;;https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=3071616;https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2598988;Criação, Sistema Nacional de Inteligência Pública (SNIP), utilização, Inteligência artificial, gestão pública, gestão estratégica, dados, aprimoramento, formulação, avaliação, política pública, diretrizes, Tecnologia, algoritmo, Transparência algorítmica.;Recebimento;2026-02-23;Aguardando Designação de Relator(a);0.7837;0.6208;1.6667;TOTAL (2 Termos);IA Especialista (Rerank) + Tração
